"Name","Activity type","Description"
"Benton Township, OH","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","39.454684","-82.572833","235.0","","6","0","2015-10-11T19:48:42.527Z","","",""
"1","2","39.454717","-82.572747","227.0","31.0","5","0.25","2015-10-11T19:49:18.064Z","","",""
"1","3","39.454742","-82.572709","226.0","47.0","6","1.25","2015-10-11T19:49:18.945Z","","",""
"1","4","39.45476","-82.572597","217.0","","5","0","2015-10-11T19:49:28.006Z","","",""
"1","5","39.454766","-82.572589","217.0","","5","0","2015-10-11T19:49:28.950Z","","",""
"1","6","39.45478","-82.572476","221.0","63.0","5","0.75","2015-10-11T19:49:45.032Z","","",""
"1","7","39.454788","-82.572467","220.0","63.0","5","0.5","2015-10-11T19:49:45.941Z","","",""
"1","8","39.45486","-82.572407","217.0","63.0","10","0.5","2015-10-11T19:50:07.064Z","","",""
"1","9","39.45487","-82.572401","217.0","63.0","10","0.5","2015-10-11T19:50:07.986Z","","",""
"1","10","39.454949","-82.572352","214.0","63.0","11","0.5","2015-10-11T19:50:15.964Z","","",""
"1","11","39.454956","-82.57235","215.0","63.0","10","0.5","2015-10-11T19:50:16.896Z","","",""
"1","12","39.455032","-82.572316","213.0","63.0","11","0.5","2015-10-11T19:50:24.144Z","","",""
"1","13","39.455042","-82.572311","214.0","63.0","11","0.5","2015-10-11T19:50:24.968Z","","",""
"1","14","39.455121","-82.572273","212.0","63.0","11","0.5","2015-10-11T19:50:33.068Z","","",""
"1","15","39.455127","-82.572268","214.0","63.0","10","0.5","2015-10-11T19:50:33.939Z","","",""
"1","16","39.455181","-82.572186","216.0","63.0","10","0.75","2015-10-11T19:50:45.128Z","","",""
"1","17","39.455193","-82.572185","215.0","356.0","10","0.75","2015-10-11T19:50:45.942Z","","",""
"1","18","39.455277","-82.572149","219.0","13.0","11","0.5","2015-10-11T19:50:55.067Z","","",""
"1","19","39.455286","-82.572143","219.0","","10","0","2015-10-11T19:50:55.906Z","","",""
"1","20","39.455349","-82.572063","224.0","46.0","11","0.75","2015-10-11T19:51:05.993Z","","",""
"1","21","39.455356","-82.572055","221.0","42.0","10","0.75","2015-10-11T19:51:06.903Z","","",""
"1","22","39.455425","-82.571987","223.0","36.0","10","0.5","2015-10-11T19:51:20.148Z","","",""
"1","23","39.45543","-82.571974","223.0","","10","0","2015-10-11T19:51:20.946Z","","",""
"1","24","39.455519","-82.571961","225.0","36.0","5","0.75","2015-10-11T19:51:36.030Z","","",""
"1","25","39.455529","-82.571965","225.0","36.0","5","0.75","2015-10-11T19:51:36.923Z","","",""
"1","26","39.455602","-82.572005","234.0","36.0","5","0.5","2015-10-11T19:51:49.026Z","","",""
"1","27","39.455615","-82.572001","232.0","36.0","5","0.5","2015-10-11T19:51:49.955Z","","",""
"1","28","39.4557","-82.572015","237.0","36.0","6","0.5","2015-10-11T19:52:01.010Z","","",""
"1","29","39.455712","-82.572022","238.0","36.0","6","0.5","2015-10-11T19:52:01.922Z","","",""
"1","30","39.455783","-82.572088","237.0","36.0","6","0.5","2015-10-11T19:52:09.074Z","","",""
"1","31","39.455798","-82.572088","237.0","36.0","7","0.5","2015-10-11T19:52:09.927Z","","",""
"1","32","39.455882","-82.572099","237.0","36.0","7","0.75","2015-10-11T19:52:15.960Z","","",""
"1","33","39.455896","-82.572105","237.0","36.0","8","0.75","2015-10-11T19:52:16.899Z","","",""
"1","34","39.455974","-82.572162","241.0","","5","0","2015-10-11T19:52:27.017Z","","",""
"1","35","39.45598","-82.572167","240.0","","10","0","2015-10-11T19:52:27.933Z","","",""
"1","36","39.456058","-82.572213","244.0","","10","0","2015-10-11T19:52:37.057Z","","",""
"1","37","39.456066","-82.572216","243.0","","9","0","2015-10-11T19:52:37.922Z","","",""
"1","38","39.456152","-82.572244","246.0","322.0","10","0.25","2015-10-11T19:53:05.271Z","","",""
"1","39","39.456158","-82.572252","247.0","322.0","11","0.5","2015-10-11T19:53:05.913Z","","",""
"1","40","39.45622","-82.572326","248.0","322.0","11","0.5","2015-10-11T19:53:12.097Z","","",""
"1","41","39.456235","-82.572335","248.0","322.0","11","0.75","2015-10-11T19:53:12.989Z","","",""
"1","42","39.456312","-82.572377","249.0","","11","0","2015-10-11T19:53:17.030Z","","",""
"1","43","39.456334","-82.572384","248.0","","10","0","2015-10-11T19:53:17.946Z","","",""
"1","44","39.456416","-82.572424","251.0","322.0","12","0.25","2015-10-11T19:53:55.018Z","","",""
"1","45","39.456423","-82.572435","251.0","","11","0","2015-10-11T19:53:55.938Z","","",""
"1","46","39.456466","-82.572524","250.0","322.0","12","0.5","2015-10-11T19:54:22.103Z","","",""
"1","47","39.45648","-82.572534","245.0","322.0","12","0.5","2015-10-11T19:54:23.036Z","","",""
"1","48","39.456543","-82.572609","246.0","","12","0","2015-10-11T19:54:30.012Z","","",""
"1","49","39.45655","-82.572616","247.0","","12","0","2015-10-11T19:54:30.910Z","","",""
"1","50","39.456621","-82.572687","248.0","","11","0","2015-10-11T19:54:44.178Z","","",""
"1","51","39.456624","-82.572689","248.0","","11","0","2015-10-11T19:54:44.986Z","","",""
"1","52","39.456632","-82.572793","241.0","322.0","10","0.5","2015-10-11T19:55:08.262Z","","",""
"1","53","39.456633","-82.57281","241.0","","10","0","2015-10-11T19:55:09.253Z","","",""
"1","54","39.456647","-82.572913","236.0","322.0","11","0.5","2015-10-11T19:55:31.043Z","","",""
"1","55","39.45665","-82.572926","236.0","322.0","11","0.5","2015-10-11T19:55:31.912Z","","",""
"1","56","39.456639","-82.573033","243.0","322.0","10","0.5","2015-10-11T19:55:40.045Z","","",""
"1","57","39.456633","-82.573044","244.0","322.0","11","0.5","2015-10-11T19:55:40.987Z","","",""
"1","58","39.456596","-82.57314","248.0","252.0","11","0.75","2015-10-11T19:55:49.602Z","","",""
"1","59","39.456592","-82.573156","248.0","231.0","11","0.75","2015-10-11T19:55:49.897Z","","",""
"1","60","39.456571","-82.573263","249.0","220.0","11","0.75","2015-10-11T19:55:58.042Z","","",""
"1","61","39.456572","-82.573276","248.0","220.0","11","0.75","2015-10-11T19:55:59.027Z","","",""
"1","62","39.456573","-82.573383","251.0","220.0","10","0.75","2015-10-11T19:56:06.097Z","","",""
"1","63","39.456568","-82.573399","252.0","220.0","10","0.75","2015-10-11T19:56:06.960Z","","",""
"1","64","39.456547","-82.573507","254.0","220.0","11","0.75","2015-10-11T19:56:14.681Z","","",""
"1","65","39.45654","-82.573522","255.0","220.0","11","0.75","2015-10-11T19:56:14.894Z","","",""
"1","66","39.456515","-82.573622","252.0","220.0","10","0.75","2015-10-11T19:56:23.053Z","","",""
"1","67","39.456515","-82.573635","253.0","220.0","10","0.75","2015-10-11T19:56:23.934Z","","",""
"1","68","39.456482","-82.573728","255.0","255.0","10","1","2015-10-11T19:56:31.038Z","","",""
"1","69","39.456481","-82.573743","255.0","268.0","10","1","2015-10-11T19:56:31.925Z","","",""
"1","70","39.456527","-82.57383","257.0","303.0","4","0.5","2015-10-11T19:57:50.033Z","","",""
"1","71","39.456538","-82.573832","257.0","303.0","4","0.5","2015-10-11T19:57:50.934Z","","",""
"1","72","39.456612","-82.573871","256.0","303.0","4","0.75","2015-10-11T19:58:00.083Z","","",""
"1","73","39.45662","-82.57388","258.0","303.0","4","0.75","2015-10-11T19:58:00.982Z","","",""
"1","74","39.456661","-82.57398","258.0","303.0","6","0.75","2015-10-11T19:58:11.013Z","","",""
"1","75","39.456668","-82.573989","258.0","303.0","7","0.75","2015-10-11T19:58:11.941Z","","",""
"1","76","39.45673","-82.574066","256.0","336.0","5","0.25","2015-10-11T19:58:21.026Z","","",""
"1","77","39.456731","-82.574073","258.0","","5","0","2015-10-11T19:58:21.941Z","","",""
"1","78","39.456797","-82.574136","259.0","","10","0","2015-10-11T19:59:05.047Z","","",""
"1","79","39.456804","-82.574141","259.0","","10","0","2015-10-11T19:59:05.926Z","","",""
"1","80","39.456878","-82.574183","266.0","","11","0","2015-10-11T19:59:24.064Z","","",""
"1","81","39.456889","-82.574192","265.0","","11","0","2015-10-11T19:59:24.932Z","","",""
"1","82","39.456951","-82.574264","263.0","336.0","12","0.5","2015-10-11T19:59:42.649Z","","",""
"1","83","39.456955","-82.574275","264.0","336.0","12","0.5","2015-10-11T19:59:42.903Z","","",""
